env,clt,gitName,appName,appNameShort,server,vHostNames,configSetFilename,testConfigSetFilename,scaleWeb,scaleWorker,scaleCron,buildServer
dev,so,00healthcheck,00healthcheck,00healthcheck,dokku-target-0,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,dokku-builder-1
dev,so,billing,billing,billing,dokku-target-0,billing,billing.txt,testConfigSet.txt,1,0,0,dokku-builder-1
dev,so,billingapi,billingapi,billingapi,dokku-target-0,billingapi,billingapi.txt,testConfigSet.txt,1,0,0,dokku-builder-1
dev,so,caredfor-admin-rca-export,caredfor-admin-rca-export,admin,dokku-target-0,admin,admin.txt,testConfigSet.txt,0,0,0,dokku-builder-1
dev,so,caredfor-assessments-rca-export,caredfor-assessments-rca-export,assess,dokku-target-0,assess,assess.txt,testConfigSet.txt,1,0,1,dokku-builder-1
dev,so,caredfor-frontend-rca-export,caredfor-frontend-rca-export,frontend,dokku-target-0,"www,app,@",frontend.txt,testConfigSet.txt,1,0,0,dokku-builder-1
dev,so,caredfor-global-api-rca-export,caredfor-global-api-rca-export,global,dokku-target-0,global,global.txt,testConfigSet.txt,0,0,0,dokku-builder-1
dev,so,caredfor-integrations-rca-export,caredfor-integrations-rca-export,int,dokku-target-0,int,int.txt,testConfigSet.txt,0,0,0,dokku-builder-1
dev,so,caredfor-sms-rca-export,caredfor-sms-rca-export,sms,dokku-target-0,sms,sms.txt,testConfigSet.txt,1,1,0,dokku-builder-1
dev,so,cm-service-rca-export,cm-service-rca-export,cm,dokku-target-0,cm,cm.txt,testConfigSet.txt,1,1,0,dokku-builder-1
dev,so,employeeselfserve,employeeselfserve,ess,dokku-target-0,ess,ess.txt,testConfigSet.txt,1,0,0,dokku-builder-1
dev,so,sleep,sleep,sleep,dokku-target-0,sleep,sleep.txt,testConfigSet.txt,1,0,0,dokku-builder-1
dev,so,caredfor-laravel-rca-export,caredfor-laravel-rca-export,api,dokku-target-0,api,api.txt,testConfigSet.txt,1,1,1,dokku-builder-1
tra,so,00healthcheck,00healthcheck,00healthcheck,dokku-target-2,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,dokku-builder-2
tra,so,caredfor-assessments-rca-export,caredfor-assessments-rca-export,assess,dokku-target-2,assess,assess.txt,testConfigSet.txt,1,0,1,dokku-builder-2
tra,so,billing,billing,billing,dokku-target-2,billing,billing.txt,testConfigSet.txt,1,0,0,dokku-builder-2
tra,so,billingapi,billingapi,billingapi,dokku-target-2,billingapi,billingapi.txt,testConfigSet.txt,1,0,0,dokku-builder-2
tra,so,caredfor-admin-rca-export,caredfor-admin-rca-export,admin,dokku-target-2,admin,admin.txt,testConfigSet.txt,0,0,0,dokku-builder-2
tra,so,caredfor-frontend-rca-export,caredfor-frontend-rca-export,frontend,dokku-target-2,"www,app,@",frontend.txt,testConfigSet.txt,1,0,0,dokku-builder-2
tra,so,caredfor-global-api-rca-export,caredfor-global-api-rca-export,global,dokku-target-2,global,global.txt,testConfigSet.txt,0,0,0,dokku-builder-2
tra,so,caredfor-integrations-rca-export,caredfor-integrations-rca-export,int,dokku-target-2,int,int.txt,testConfigSet.txt,0,0,0,dokku-builder-2
tra,so,caredfor-laravel-rca-export,caredfor-laravel-rca-export,api,dokku-target-2,api,api.txt,testConfigSet.txt,1,1,1,dokku-builder-2
tra,so,caredfor-sms-rca-export,caredfor-sms-rca-export,sms,dokku-target-2,sms,sms.txt,testConfigSet.txt,1,1,0,dokku-builder-2
tra,so,cm-service-rca-export,cm-service-rca-export,cm,dokku-target-2,cm,cm.txt,testConfigSet.txt,1,1,0,dokku-builder-2
tra,so,employeeselfserve,employeeselfserve,ess,dokku-target-2,ess,ess.txt,testConfigSet.txt,1,0,0,dokku-builder-2
tra,so,sleep,sleep,sleep,dokku-target-2,sleep,sleep.txt,testConfigSet.txt,1,0,0,dokku-builder-2
sta,so,00healthcheck,00healthcheck,00healthcheck,dokku-target-3,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,dokku-builder-3
sta,so,caredfor-assessments-rca-export,caredfor-assessments-rca-export,assess,dokku-target-3,assess,assess.txt,testConfigSet.txt,1,0,1,dokku-builder-3
sta,so,billing,billing,billing,dokku-target-3,billing,billing.txt,testConfigSet.txt,1,0,0,dokku-builder-3
sta,so,billingapi,billingapi,billingapi,dokku-target-3,billingapi,billingapi.txt,testConfigSet.txt,1,0,0,dokku-builder-3
sta,so,caredfor-admin-rca-export,caredfor-admin-rca-export,admin,dokku-target-3,admin,admin.txt,testConfigSet.txt,0,0,0,dokku-builder-3
sta,so,caredfor-frontend-rca-export,caredfor-frontend-rca-export,frontend,dokku-target-3,"www,app,@",frontend.txt,testConfigSet.txt,1,0,0,dokku-builder-3
sta,so,caredfor-global-api-rca-export,caredfor-global-api-rca-export,global,dokku-target-3,global,global.txt,testConfigSet.txt,0,0,0,dokku-builder-3
sta,so,caredfor-integrations-rca-export,caredfor-integrations-rca-export,int,dokku-target-3,int,int.txt,testConfigSet.txt,0,0,0,dokku-builder-3
sta,so,caredfor-sms-rca-export,caredfor-sms-rca-export,sms,dokku-target-3,sms,sms.txt,testConfigSet.txt,1,1,0,dokku-builder-3
sta,so,cm-service-rca-export,cm-service-rca-export,cm,dokku-target-3,cm,cm.txt,testConfigSet.txt,1,1,0,dokku-builder-3
sta,so,employeeselfserve,employeeselfserve,ess,dokku-target-3,ess,ess.txt,testConfigSet.txt,1,0,0,dokku-builder-3
sta,so,sleep,sleep,sleep,dokku-target-3,sleep,sleep.txt,testConfigSet.txt,1,0,0,dokku-builder-3
sta,so,caredfor-laravel-rca-export,caredfor-laravel-rca-export,api,dokku-target-3,api,api.txt,testConfigSet.txt,1,1,1,dokku-builder-3
qa,so,00healthcheck,00healthcheck,00healthcheck,dokku-target-4,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,caredfor-assessments-rca-export,caredfor-assessments-rca-export,assess,dokku-target-4,assess,assess.txt,testConfigSet.txt,1,0,1,dokku-builder-4
qa,so,billing,billing,billing,dokku-target-4,billing,billing.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,billingapi,billingapi,billingapi,dokku-target-4,billingapi,billingapi.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,caredfor-admin-rca-export,caredfor-admin-rca-export,admin,dokku-target-4,admin,admin.txt,testConfigSet.txt,0,0,0,dokku-builder-4
qa,so,caredfor-frontend-rca-export,caredfor-frontend-rca-export,frontend,dokku-target-4,"www,app,@",frontend.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,caredfor-global-api-rca-export,caredfor-global-api-rca-export,global,dokku-target-4,global,global.txt,testConfigSet.txt,0,0,0,dokku-builder-4
qa,so,caredfor-integrations-rca-export,caredfor-integrations-rca-export,int,dokku-target-4,int,int.txt,testConfigSet.txt,0,0,0,dokku-builder-4
qa,so,caredfor-sms-rca-export,caredfor-sms-rca-export,sms,dokku-target-4,sms,sms.txt,testConfigSet.txt,1,1,0,dokku-builder-4
qa,so,cm-service-rca-export,cm-service-rca-export,cm,dokku-target-4,cm,cm.txt,testConfigSet.txt,1,1,0,dokku-builder-4
qa,so,employeeselfserve,employeeselfserve,ess,dokku-target-4,ess,ess.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,sleep,sleep,sleep,dokku-target-4,sleep,sleep.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,caredfor-laravel-rca-export,caredfor-laravel-rca-export,api,dokku-target-4,api,api.txt,testConfigSet.txt,1,1,1,dokku-builder-4
qa,so,00healthcheck,00healthcheck,00healthcheck,dokku-target-5,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,caredfor-assessments-rca-export,caredfor-assessments-rca-export,assess,dokku-target-5,assess,assess.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,billing,billing,billing,dokku-target-5,billing,billing.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,billingapi,billingapi,billingapi,dokku-target-5,billingapi,billingapi.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,caredfor-admin-rca-export,caredfor-admin-rca-export,admin,dokku-target-5,admin,admin.txt,testConfigSet.txt,0,0,0,dokku-builder-4
qa,so,caredfor-frontend-rca-export,caredfor-frontend-rca-export,frontend,dokku-target-5,"www,app,@",frontend.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,caredfor-global-api-rca-export,caredfor-global-api-rca-export,global,dokku-target-5,global,global.txt,testConfigSet.txt,0,0,0,dokku-builder-4
qa,so,caredfor-integrations-rca-export,caredfor-integrations-rca-export,int,dokku-target-5,int,int.txt,testConfigSet.txt,0,0,0,dokku-builder-4
qa,so,caredfor-sms-rca-export,caredfor-sms-rca-export,sms,dokku-target-5,sms,sms.txt,testConfigSet.txt,1,1,0,dokku-builder-4
qa,so,cm-service-rca-export,cm-service-rca-export,cm,dokku-target-5,cm,cm.txt,testConfigSet.txt,1,1,0,dokku-builder-4
qa,so,employeeselfserve,employeeselfserve,ess,dokku-target-5,ess,ess.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,sleep,sleep,sleep,dokku-target-5,sleep,sleep.txt,testConfigSet.txt,1,0,0,dokku-builder-4
qa,so,caredfor-laravel-rca-export,caredfor-laravel-rca-export,api,dokku-target-5,api,api.txt,testConfigSet.txt,1,1,0,dokku-builder-4
prod,so,00healthcheck,00healthcheck,00healthcheck,frontend-0,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,billing,billing,billing,frontend-0,billing,billing.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-admin-rca-export,caredfor-admin-rca-export,admin,frontend-0,admin,admin.txt,testConfigSet.txt,0,0,0,builder-0
prod,so,caredfor-frontend-rca-export,caredfor-frontend-rca-export,frontend,frontend-0,app,frontend.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,00healthcheck,00healthcheck,00healthcheck,frontend-1,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,billing,billing,billing,frontend-1,billing,billing.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-admin-rca-export,caredfor-admin-rca-export,admin,frontend-1,admin,admin.txt,testConfigSet.txt,0,0,0,builder-0
prod,so,caredfor-frontend-rca-export,caredfor-frontend-rca-export,frontend,frontend-1,app,frontend.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,00healthcheck,00healthcheck,00healthcheck,main-api-0,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-laravel-rca-export,caredfor-laravel-rca-export,api,main-api-0,api,api.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,00healthcheck,00healthcheck,00healthcheck,main-api-1,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-laravel-rca-export,caredfor-laravel-rca-export,api,main-api-1,api,api.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,00healthcheck,00healthcheck,00healthcheck,main-worker-0,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-laravel-rca-export,caredfor-laravel-rca-export,api,main-worker-0,api,api.txt,testConfigSet.txt,0,4,0,builder-0
prod,so,caredfor-laravel-rca-export,caredfor-laravel-rca-export,api,main-worker-0,api,api.txt,testConfigSet.txt,0,4,1,builder-0
prod,so,00healthcheck,00healthcheck,00healthcheck,main-worker-1,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-laravel-rca-export,caredfor-laravel-rca-export,api,main-worker-1,api,api.txt,testConfigSet.txt,0,4,0,builder-0
prod,so,caredfor-laravel-rca-export,caredfor-laravel-rca-export,api,main-worker-1,api,api.txt,testConfigSet.txt,0,4,0,builder-0
prod,so,00healthcheck,00healthcheck,00healthcheck,microsvc-api-0,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,billingapi,billingapi,billingapi,microsvc-api-0,billingapi,billingapi.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-assessments-rca-export,caredfor-assessments-rca-export,assess,microsvc-api-0,assess,assess.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-global-api-rca-export,caredfor-global-api-rca-export,global,microsvc-api-0,global,global.txt,testConfigSet.txt,0,0,0,builder-0
prod,so,caredfor-integrations-rca-export,caredfor-integrations-rca-export,int,microsvc-api-0,int,int.txt,testConfigSet.txt,0,0,0,builder-0
prod,so,caredfor-sms-rca-export,caredfor-sms-rca-export,sms,microsvc-api-0,sms,sms.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,cm-service-rca-export,cm-service-rca-export,cm,microsvc-api-0,cm,cm.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,employeeselfserve,employeeselfserve,ess,microsvc-api-0,ess,ess.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,sleep,sleep,sleep,microsvc-api-0,sleep,sleep.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,00healthcheck,00healthcheck,00healthcheck,microsvc-api-1,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,billingapi,billingapi,billingapi,microsvc-api-1,billingapi,billingapi.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-assessments-rca-export,caredfor-assessments-rca-export,assess,microsvc-api-1,assess,assess.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-global-api-rca-export,caredfor-global-api-rca-export,global,microsvc-api-1,global,global.txt,testConfigSet.txt,0,0,0,builder-0
prod,so,caredfor-integrations-rca-export,caredfor-integrations-rca-export,int,microsvc-api-1,int,int.txt,testConfigSet.txt,0,0,0,builder-0
prod,so,caredfor-sms-rca-export,caredfor-sms-rca-export,sms,microsvc-api-1,sms,sms.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,cm-service-rca-export,cm-service-rca-export,cm,microsvc-api-1,cm,cm.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,employeeselfserve,employeeselfserve,ess,microsvc-api-1,ess,ess.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,sleep,sleep,sleep,microsvc-api-1,sleep,sleep.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,00healthcheck,00healthcheck,00healthcheck,microsvc-worker-0,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-assessments-rca-export,caredfor-assessments-rca-export,assess,microsvc-worker-0,assess,assess.txt,testConfigSet.txt,0,0,1,builder-0
prod,so,caredfor-global-api-rca-export,caredfor-global-api-rca-export,global,microsvc-worker-0,global,global.txt,testConfigSet.txt,0,0,0,builder-0
prod,so,caredfor-integrations-rca-export,caredfor-integrations-rca-export,int,microsvc-worker-0,int,int.txt,testConfigSet.txt,0,0,0,builder-0
prod,so,caredfor-sms-rca-export,caredfor-sms-rca-export,sms,microsvc-worker-0,sms,sms.txt,testConfigSet.txt,0,1,0,builder-0
prod,so,cm-service-rca-export,cm-service-rca-export,cm,microsvc-worker-0,cm,cm.txt,testConfigSet.txt,0,1,0,builder-0
prod,so,00healthcheck,00healthcheck,00healthcheck,microsvc-worker-1,00healthcheck,00healthcheck.txt,testConfigSet.txt,1,0,0,builder-0
prod,so,caredfor-assessments-rca-export,caredfor-assessments-rca-export,assess,microsvc-worker-1,assess,assess.txt,testConfigSet.txt,0,0,0,builder-0
prod,so,caredfor-global-api-rca-export,caredfor-global-api-rca-export,global,microsvc-worker-1,global,global.txt,testConfigSet.txt,0,0,0,builder-0
prod,so,caredfor-integrations-rca-export,caredfor-integrations-rca-export,int,microsvc-worker-1,int,int.txt,testConfigSet.txt,0,0,0,builder-0
prod,so,caredfor-sms-rca-export,caredfor-sms-rca-export,sms,microsvc-worker-1,sms,sms.txt,testConfigSet.txt,0,1,0,builder-0
prod,so,cm-service-rca-export,cm-service-rca-export,cm,microsvc-worker-1,cm,cm.txt,testConfigSet.txt,0,1,0,builder-0
